300	2.77
310	2.47
320	2.93
330	3.09
340	3.41
350	3.86
360	4.29
370	4.36
380	4.17
390	4.06
400	3.82
410	3.60
420	3.39
430	3.34
440	3.80
450	5.67
460	4.14
470	4.05
480	3.96
490	3.79
500	3.65
510	3.60
520	3.53
530	3.46
540	3.39
550	3.31
560	3.28
570	3.18
580	4.00
590	3.28
600	3.09
610	4.82
620	3.02
630	3.12
640	3.38
650	2.82
660	3.26
670	2.92
680	2.69
690	2.65
700	2.58
710	2.33
720	2.33
730	2.24
740	2.21
750	2.35
760	2.46
770	21.84
780	3.37
790	2.59
800	12.91
810	2.81
820	9.31
830	4.37
840	20.77
850	2.89
860	2.81
870	6.86
880	1.98
890	6.95
900	12.34
910	4.66
920	6.08
930	2.33
940	1.52
950	1.39
960	1.30
970	1.21
980	1.85
990	1.39
1000	0.22

