400	1179
410	1172
420	1172
430	1172
440	1172
450	1172
460	1172
470	1172
480	1222
490	1374
500	1533
510	2159
520	3154
530	4257
540	6049
550	8294
560	9830
570	11291
580	13151
590	14277
600	12566
610	12108
620	11961
630	11255
640	9992
650	8922
660	8362
670	8361
680	8565
690	7340
700	5989
710	5610
720	4701
730	5259
740	4328
750	3642
760	3212
770	2102
780	1629
790	1725
800	1534
810	1314
820	2745
830	1532
840	1244
850	1085
860	1156
870	1165
880	1358
890	1174
900	1162
910	1162
920	1162
930	1162
940	1162
950	1162
960	1162
970	1162
980	1162
990	1162
1000	1162

